iris:-161.711243:187.132706:157.505997:A
iris:-158.659180:189.800522:157.505692:A
iris:-158.711182:183.713348:157.505997:A
standard_vtol:-44.472301:-347.490601:151.481003:A
standard_vtol:-44.583313:-343.290985:151.481003:A
iris:1058.880000:221.723000:224.754000:A
iris:1061.110000:217.216000:224.754000:A
iris:1054.880000:219.659000:224.754000:A
typhoon_h480:828.955000:-273.953000:177.599000:A
typhoon_h480:825.033000:-276.065000:177.599000:A
